Section,Code,Name,Unit,Labor Hrs,Material Cost ($),Description
LINE,LINE-005A,100A Main Breaker Panel (20-space 40-circuit) — Mount,EA,1.50,110.00,"Mount and secure 100A main breaker panel (20-space 40-circuit). Ref: SQ-D HOM2040M100PC / QO120M100P / Eaton BR2020B100 / Siemens P2040B1100CU. Wiring and breakers separate."
LINE,LINE-006,200A Meter Base — Mount,EA,1.50,175.00,Mount meter base to exterior wall. Wiring separate.
LINE,LINE-007,150A Subpanel (30-space) — Mount,EA,1.50,180.00,Mount subpanel to wall. Feeder and breakers separate.
LINE,LINE-008,125A Subpanel (24-space) — Mount,EA,1.25,165.00,Mount subpanel to wall. Feeder and breakers separate.
LINE,LINE-009,100A Subpanel (20-space) — Mount,EA,1.25,150.00,Mount subpanel to wall. Feeder and breakers separate.
LINE,LINE-010,60A Subpanel (12-space) — Mount,EA,1.00,120.00,Mount subpanel to wall. Feeder and breakers separate.
LINE,LINE-011,Service Mast + Weatherhead — Install,EA,3.00,150.00,Install mast pipe and weatherhead on exterior wall. Conductors separate.
LINE,LINE-012,Exterior Service Disconnect — Mount,EA,1.50,175.00,Mount and secure exterior disconnect enclosure. Wiring separate.
LINE,LINE-013,CT Cabinet — Mount,EA,2.00,300.00,Mount current transformer cabinet for 320A+ services. Wiring separate.
LINE,LINE-014,Ground Rod — Drive,EA,0.75,25.00,Drive 8-ft ground rod into earth. Clamp and conductor separate.
LINE,LINE-015,Ground Rod Clamp — Install,EA,0.15,8.00,Install clamp on ground rod and connect conductor.
LINE,LINE-016,Ground Rod Conductor (bare Cu) — Run,LF,0.005,1.50,Run bare copper grounding electrode conductor from panel to rod.
LINE,LINE-017,Water Pipe Bond Clamp — Install,EA,0.25,12.00,Install bonding clamp on metal water pipe and connect jumper.
LINE,LINE-018,Intersystem Bonding Termination — Install,EA,0.25,15.00,Install IBTS device at service for telecom/CATV bonding.
LINE,LINE-019,15A Single-Pole Breaker — Install,EA,0.28,8.00,Snap in and land 15A single-pole breaker on bus. Includes re-landing time.
LINE,LINE-020,20A Single-Pole Breaker — Install,EA,0.28,9.00,Snap in and land 20A single-pole breaker on bus. Includes re-landing time.
LINE,LINE-021,15A AFCI Breaker — Install,EA,0.38,45.00,Snap in and land 15A AFCI breaker. Pigtail to neutral bus. Includes re-landing time.
LINE,LINE-022,20A AFCI Breaker — Install,EA,0.38,48.00,Snap in and land 20A AFCI breaker. Pigtail to neutral bus. Includes re-landing time.
LINE,LINE-023,15A GFCI Breaker — Install,EA,0.38,45.00,Snap in and land 15A GFCI breaker. Pigtail to neutral bus. Includes re-landing time.
LINE,LINE-024,20A GFCI Breaker — Install,EA,0.38,48.00,Snap in and land 20A GFCI breaker. Pigtail to neutral bus. Includes re-landing time.
LINE,LINE-025,15A Dual-Function (AFCI/GFCI) Breaker — Install,EA,0.38,55.00,Snap in and land 15A dual-function breaker. Pigtail to neutral bus. Includes re-landing time.
LINE,LINE-026,20A Dual-Function (AFCI/GFCI) Breaker — Install,EA,0.38,58.00,Snap in and land 20A dual-function breaker. Pigtail to neutral bus. Includes re-landing time.
LINE,LINE-027,20A 240V 2-Pole Breaker — Install,EA,0.38,25.00,Snap in and land 20A 2-pole breaker on bus. Includes re-landing time.
LINE,LINE-028,30A 240V 2-Pole Breaker — Install,EA,0.38,28.00,Snap in and land 30A 2-pole breaker on bus. Includes re-landing time.
LINE,LINE-029,40A 240V 2-Pole Breaker — Install,EA,0.38,30.00,Snap in and land 40A 2-pole breaker on bus. Includes re-landing time.
LINE,LINE-030,50A 240V 2-Pole Breaker — Install,EA,0.38,32.00,Snap in and land 50A 2-pole breaker on bus. Includes re-landing time.
LINE,LINE-031,60A 240V 2-Pole Breaker — Install,EA,0.38,35.00,Snap in and land 60A 2-pole breaker on bus. Includes re-landing time.
LINE,LINE-032,100A 240V 2-Pole Breaker — Install,EA,0.38,65.00,Snap in and land 100A 2-pole breaker on bus. Includes re-landing time.
LINE,LINE-033,200A 240V Main Breaker — Install,EA,0.53,85.00,Snap in and land 200A main breaker. Includes re-landing time.
LINE,LINE-034,Surge Protective Device (SPD) — Install,EA,0.53,150.00,Install SPD module at panel and connect.
LINE,LINE-035,4/0 AWG Aluminum Service Conductor — Pull,LF,0.020,1.00,"Pull single 4/0 aluminum conductor. Multiply qty by conductor count (3 for single-phase, 4 for three-phase)."
LINE,LINE-036,4/0 AWG Copper Service Conductor — Pull,LF,0.020,2.00,"Pull single 4/0 copper conductor. Multiply qty by conductor count (3 for single-phase, 4 for three-phase)."
LINE,LINE-037,2/0 AWG Aluminum Service Conductor — Pull,LF,0.018,0.70,"Pull single 2/0 aluminum conductor. Multiply qty by conductor count."
LINE,LINE-038,2/0 AWG Copper Service Conductor — Pull,LF,0.018,1.50,"Pull single 2/0 copper conductor. Multiply qty by conductor count."
LINE,LINE-039,1/0 AWG Aluminum Feeder Conductor — Pull,LF,0.016,0.55,"Pull single 1/0 aluminum conductor for feeder."
LINE,LINE-040,1/0 AWG Copper Feeder Conductor — Pull,LF,0.016,1.20,"Pull single 1/0 copper conductor for feeder."
LINE,LINE-041,SER Cable 4/0 (3-conductor + ground) — Run,LF,0.025,7.00,Run SER 4/0 cable from main panel to subpanel or service point.
LINE,LINE-042,SER Cable 2/0 (3-conductor + ground) — Run,LF,0.022,4.50,Run SER 2/0 cable from main panel to subpanel.
LINE,LINE-043,SER Cable 1/0 (3-conductor + ground) — Run,LF,0.020,3.50,Run SER 1/0 cable from main panel to subpanel.
LINE,LINE-044,SEU Cable 4/0 (2-conductor + ground) — Run,LF,0.025,6.50,Run SEU 4/0 cable from meter to panel.
ROUGH-IN,RI-001,Single-Gang New-Work Box — Mount,EA,0.10,0.75,Nail-on single-gang box mounted to stud.
ROUGH-IN,RI-002,Double-Gang New-Work Box — Mount,EA,0.12,1.25,Nail-on double-gang box mounted to stud.
ROUGH-IN,RI-003,Triple-Gang New-Work Box — Mount,EA,0.15,2.00,Nail-on triple-gang box mounted to stud.
ROUGH-IN,RI-004,4-Square Junction Box — Mount,EA,0.12,1.50,"Mount 4-square box to stud or joist (for junctions, fixtures)."
ROUGH-IN,RI-005,4-Square Box + Single-Gang Mud Ring — Mount,EA,0.15,2.25,Mount 4-square box with single-gang plaster ring.
ROUGH-IN,RI-006,4-Square Box + Double-Gang Mud Ring — Mount,EA,0.18,2.75,Mount 4-square box with double-gang plaster ring.
ROUGH-IN,RI-007,Octagon / Round Ceiling Box — Mount,EA,0.12,1.25,Mount octagon box to joist for standard light fixture.
ROUGH-IN,RI-008,Fan-Rated Ceiling Box — Mount,EA,0.20,8.00,Mount fan-rated box with brace bar between joists.
ROUGH-IN,RI-008A,RAB Rough-In Plate w/ Nailer Bar (3/4/6/8 in Universal) — Mount,EA,0.10,12.00,"Mount RAB DLPLATE-WFR3468-NB adjustable rough-in plate with nailer bar between joists for canless wafer light backing. Fits 3 in / 4 in / 6 in / 8 in lights. Install before drywall."
ROUGH-IN,RI-009,Weatherproof Box (single-gang) — Mount,EA,0.15,6.00,Mount weatherproof box on exterior wall.
ROUGH-IN,RI-010,Panel Box Knockout — Prep,EA,0.10,0.50,Remove knockout and install connector at panel.
ROUGH-IN,RI-011,14/2 NM-B (Romex) — Run,LF,0.005,0.40,Run and secure 14/2 Romex along framing.
ROUGH-IN,RI-012,12/2 NM-B (Romex) — Run,LF,0.006,0.50,Run and secure 12/2 Romex along framing.
ROUGH-IN,RI-013,14/3 NM-B (Romex) — Run,LF,0.006,0.65,Run and secure 14/3 Romex (3-way switch legs).
ROUGH-IN,RI-014,12/3 NM-B (Romex) — Run,LF,0.007,0.75,Run and secure 12/3 Romex (multi-wire branch circuits).
ROUGH-IN,RI-015,10/2 NM-B (Romex) — Run,LF,0.007,0.80,Run and secure 10/2 Romex (30A circuits).
ROUGH-IN,RI-016,10/3 NM-B (Romex) — Run,LF,0.008,1.00,Run and secure 10/3 Romex (dryer/3-wire 30A).
ROUGH-IN,RI-017,8/2 NM-B (Romex) — Run,LF,0.008,1.20,Run and secure 8/2 Romex (40A circuits).
ROUGH-IN,RI-018,8/3 NM-B (Romex) — Run,LF,0.009,1.50,Run and secure 8/3 Romex (range/dryer 40A 3-wire).
ROUGH-IN,RI-019,6/2 NM-B (Romex) — Run,LF,0.010,1.60,Run and secure 6/2 Romex (50A circuits).
ROUGH-IN,RI-020,6/3 NM-B (Romex) — Run,LF,0.011,1.90,Run and secure 6/3 Romex (range 50A 3-wire).
ROUGH-IN,RI-021,4/3 NM-B (Romex) — Run,LF,0.012,2.50,Run and secure 4/3 Romex (spa/larger feeders).
ROUGH-IN,RI-022,2 AWG NM-B — Run,LF,0.013,3.25,Run and secure 2 AWG NM-B (60A circuits).
ROUGH-IN,RI-023,MC Cable 14/2 — Run,LF,0.007,0.70,Run and secure 14/2 MC cable with clips.
ROUGH-IN,RI-024,MC Cable 12/2 — Run,LF,0.008,0.85,Run and secure 12/2 MC cable with clips.
ROUGH-IN,RI-025,MC Cable 12/3 — Run,LF,0.009,1.30,Run and secure 12/3 MC cable with clips.
ROUGH-IN,RI-026,MC Cable 10/2 — Run,LF,0.009,1.00,Run and secure 10/2 MC cable with clips.
ROUGH-IN,RI-027,MC Cable 10/3 — Run,LF,0.010,1.50,Run and secure 10/3 MC cable with clips.
ROUGH-IN,RI-028,UF-B Cable 12/2 — Run (direct burial),LF,0.012,0.85,Trench and lay 12/2 UF-B cable underground.
ROUGH-IN,RI-029,UF-B Cable 10/2 — Run (direct burial),LF,0.013,1.20,Trench and lay 10/2 UF-B cable underground.
ROUGH-IN,RI-030,Low-Voltage Wire 18/2 — Run,LF,0.003,0.12,Run thermostat/doorbell/control wire.
ROUGH-IN,RI-031,Low-Voltage Wire 18/4 — Run,LF,0.003,0.18,Run 4-conductor low-voltage wire (thermostats).
ROUGH-IN,RI-032,THHN 14 AWG Cu — Pull (per conductor),LF,0.004,0.10,Pull single 14 AWG THHN conductor through conduit.
ROUGH-IN,RI-033,THHN 12 AWG Cu — Pull (per conductor),LF,0.005,0.15,Pull single 12 AWG THHN conductor through conduit.
ROUGH-IN,RI-034,THHN 10 AWG Cu — Pull (per conductor),LF,0.005,0.20,Pull single 10 AWG THHN conductor through conduit.
ROUGH-IN,RI-035,THHN 8 AWG Cu — Pull (per conductor),LF,0.006,0.40,Pull single 8 AWG THHN conductor through conduit.
ROUGH-IN,RI-036,THHN 6 AWG Cu — Pull (per conductor),LF,0.007,0.65,Pull single 6 AWG THHN conductor through conduit.
ROUGH-IN,RI-037,THHN 4 AWG Cu — Pull (per conductor),LF,0.008,1.10,Pull single 4 AWG THHN conductor through conduit.
ROUGH-IN,RI-038,THHN 2 AWG Cu — Pull (per conductor),LF,0.010,1.80,Pull single 2 AWG THHN conductor through conduit.
ROUGH-IN,RI-039,THHN 1/0 AWG Cu — Pull (per conductor),LF,0.012,3.00,Pull single 1/0 AWG THHN conductor through conduit.
ROUGH-IN,RI-040,THHN 2/0 AWG Cu — Pull (per conductor),LF,0.014,3.75,Pull single 2/0 AWG THHN conductor through conduit.
ROUGH-IN,RI-041,THHN 3/0 AWG Cu — Pull (per conductor),LF,0.016,4.50,Pull single 3/0 AWG THHN conductor through conduit.
ROUGH-IN,RI-042,THHN 4/0 AWG Cu — Pull (per conductor),LF,0.018,5.75,Pull single 4/0 AWG THHN conductor through conduit.
ROUGH-IN,RI-043,EMT Conduit 1/2 in — Install,LF,0.020,0.75,Cut measure and install 1/2 in EMT with fittings.
ROUGH-IN,RI-044,EMT Conduit 3/4 in — Install,LF,0.025,1.00,Cut measure and install 3/4 in EMT with fittings.
ROUGH-IN,RI-045,EMT Conduit 1 in — Install,LF,0.030,1.45,Cut measure and install 1 in EMT with fittings.
ROUGH-IN,RI-046,EMT Conduit 1-1/4 in — Install,LF,0.035,1.80,Cut measure and install 1-1/4 in EMT with fittings.
ROUGH-IN,RI-047,EMT Conduit 1-1/2 in — Install,LF,0.040,2.25,Cut measure and install 1-1/2 in EMT with fittings.
ROUGH-IN,RI-048,EMT Conduit 2 in — Install,LF,0.045,3.00,Cut measure and install 2 in EMT with fittings.
ROUGH-IN,RI-049,PVC Conduit 1/2 in — Install,LF,0.018,0.55,Cut glue and install 1/2 in PVC with fittings.
ROUGH-IN,RI-050,PVC Conduit 3/4 in — Install,LF,0.022,0.75,Cut glue and install 3/4 in PVC with fittings.
ROUGH-IN,RI-051,PVC Conduit 1 in — Install,LF,0.025,1.00,Cut glue and install 1 in PVC with fittings.
ROUGH-IN,RI-052,PVC Conduit 1-1/4 in — Install,LF,0.030,1.20,Cut glue and install 1-1/4 in PVC with fittings.
ROUGH-IN,RI-053,PVC Conduit 1-1/2 in — Install,LF,0.035,1.60,Cut glue and install 1-1/2 in PVC with fittings.
ROUGH-IN,RI-054,PVC Conduit 2 in — Install,LF,0.040,2.15,Cut glue and install 2 in PVC with fittings.
ROUGH-IN,RI-055,RMC Rigid Steel 3/4 in — Install,LF,0.040,2.50,Cut thread and install 3/4 in rigid metal conduit.
ROUGH-IN,RI-056,RMC Rigid Steel 1 in — Install,LF,0.045,3.25,Cut thread and install 1 in rigid metal conduit.
ROUGH-IN,RI-057,FMC Flex Steel 1/2 in — Install,LF,0.015,0.60,Install 1/2 in flexible metal conduit with fittings.
ROUGH-IN,RI-058,FMC Flex Steel 3/4 in — Install,LF,0.018,0.85,Install 3/4 in flexible metal conduit with fittings.
ROUGH-IN,RI-059,LFMC Liquidtight 1/2 in — Install,LF,0.018,0.80,Install 1/2 in liquidtight flex conduit with fittings.
ROUGH-IN,RI-060,LFMC Liquidtight 3/4 in — Install,LF,0.022,1.00,Install 3/4 in liquidtight flex conduit with fittings.
ROUGH-IN,RI-061,LFMC Liquidtight 1 in — Install,LF,0.025,1.40,Install 1 in liquidtight flex conduit with fittings.
ROUGH-IN,RI-062,Staple / Clip — Secure Cable,EA,0.02,0.10,Secure cable with staple or clip per NEC spacing.
ROUGH-IN,RI-063,Cable Connector (NM) — Install,EA,0.05,0.50,Install NM cable connector at box knockout.
ROUGH-IN,RI-064,MC Connector — Install,EA,0.08,1.50,Install MC cable connector with anti-short bushing at box.
ROUGH-IN,RI-065,Conduit Body (LB/LL/LR) — Install,EA,0.20,8.00,Install conduit body fitting for direction change.
ROUGH-IN,RI-066,Conduit Elbow (90 degree) — Install,EA,0.15,3.00,Install prefab 90-degree conduit elbow.
ROUGH-IN,RI-067,Wire Nut / Push-In Connector — Splice (per joint),EA,0.05,0.25,Make one splice connection with wire nut or push connector.
ROUGH-IN,RI-068,Nail Plate — Install,EA,0.03,0.30,Install protective nail plate over cable through stud.
ROUGH-IN,RI-069,EMT Conduit 2-1/2 in — Install,LF,0.055,4.50,Cut measure and install 2-1/2 in EMT with fittings.
ROUGH-IN,RI-070,EMT Conduit 3 in — Install,LF,0.065,6.00,Cut measure and install 3 in EMT with fittings.
ROUGH-IN,RI-071,EMT Conduit 3-1/2 in — Install,LF,0.075,7.75,Cut measure and install 3-1/2 in EMT with fittings.
ROUGH-IN,RI-072,EMT Conduit 4 in — Install,LF,0.085,9.50,Cut measure and install 4 in EMT with fittings.
ROUGH-IN,RI-073,PVC Conduit 2-1/2 in — Install,LF,0.048,3.25,Cut glue and install 2-1/2 in PVC with fittings.
ROUGH-IN,RI-074,PVC Conduit 3 in — Install,LF,0.055,4.50,Cut glue and install 3 in PVC with fittings.
ROUGH-IN,RI-075,PVC Conduit 3-1/2 in — Install,LF,0.065,5.75,Cut glue and install 3-1/2 in PVC with fittings.
ROUGH-IN,RI-076,PVC Conduit 4 in — Install,LF,0.075,7.00,Cut glue and install 4 in PVC with fittings.
ROUGH-IN,RI-077,RMC Rigid Steel 1/2 in — Install,LF,0.035,2.00,Cut thread and install 1/2 in rigid metal conduit.
ROUGH-IN,RI-078,RMC Rigid Steel 1-1/4 in — Install,LF,0.050,4.25,Cut thread and install 1-1/4 in rigid metal conduit.
ROUGH-IN,RI-079,RMC Rigid Steel 1-1/2 in — Install,LF,0.060,5.50,Cut thread and install 1-1/2 in rigid metal conduit.
ROUGH-IN,RI-080,RMC Rigid Steel 2 in — Install,LF,0.070,7.00,Cut thread and install 2 in rigid metal conduit.
ROUGH-IN,RI-081,RMC Rigid Steel 2-1/2 in — Install,LF,0.085,9.50,Cut thread and install 2-1/2 in rigid metal conduit.
ROUGH-IN,RI-082,RMC Rigid Steel 3 in — Install,LF,0.100,12.50,Cut thread and install 3 in rigid metal conduit.
ROUGH-IN,RI-083,RMC Rigid Steel 3-1/2 in — Install,LF,0.115,15.00,Cut thread and install 3-1/2 in rigid metal conduit.
ROUGH-IN,RI-084,RMC Rigid Steel 4 in — Install,LF,0.130,18.00,Cut thread and install 4 in rigid metal conduit.
ROUGH-IN,RI-085,FMC Flex Steel 1 in — Install,LF,0.022,1.20,Install 1 in flexible metal conduit with fittings.
ROUGH-IN,RI-086,FMC Flex Steel 1-1/4 in — Install,LF,0.028,1.60,Install 1-1/4 in flexible metal conduit with fittings.
ROUGH-IN,RI-087,FMC Flex Steel 1-1/2 in — Install,LF,0.032,2.00,Install 1-1/2 in flexible metal conduit with fittings.
ROUGH-IN,RI-088,FMC Flex Steel 2 in — Install,LF,0.038,2.75,Install 2 in flexible metal conduit with fittings.
ROUGH-IN,RI-089,LFMC Liquidtight 1-1/4 in — Install,LF,0.030,1.80,Install 1-1/4 in liquidtight flex conduit with fittings.
ROUGH-IN,RI-090,LFMC Liquidtight 1-1/2 in — Install,LF,0.035,2.25,Install 1-1/2 in liquidtight flex conduit with fittings.
ROUGH-IN,RI-091,LFMC Liquidtight 2 in — Install,LF,0.042,3.00,Install 2 in liquidtight flex conduit with fittings.
TRIM,TRIM-D01,15A Decora Receptacle (TR) + Decora Plate — Install,EA,0.15,0.00,"Install 15A tamper-resistant Decora receptacle and Decora wall plate. Ref: Leviton T5325-WMP (10-pk). PRICE TBD."
TRIM,TRIM-D02,20A Decora Receptacle (TR) + Decora Plate — Install,EA,0.15,0.00,"Install 20A tamper-resistant Decora receptacle and Decora wall plate. Ref: Leviton T5820-WMP (10-pk). PRICE TBD."
TRIM,TRIM-D03,15A GFCI Decora Receptacle + Decora Plate — Install,EA,0.20,0.00,"Install 15A GFCI Decora receptacle and plate. Wire and test. Ref: Leviton GFNT1-W or 3-pack GFNT1-3W. PRICE TBD."
TRIM,TRIM-D04,20A GFCI Decora Receptacle + Decora Plate — Install,EA,0.20,0.00,"Install 20A GFCI Decora receptacle and plate. Wire and test. Ref: Leviton GFNT2-W. PRICE TBD."
TRIM,TRIM-D05,15A Single-Pole Decora Switch + Decora Plate — Install,EA,0.12,0.00,"Install 15A single-pole Decora rocker switch and plate. Ref: Leviton 5601-2WM (10-pk). PRICE TBD."
TRIM,TRIM-D06,15A 3-Way Decora Switch + Decora Plate — Install,EA,0.15,0.00,"Install 15A 3-way Decora rocker switch and plate. Ref: Leviton 5603-2WM (10-pk). PRICE TBD."
TRIM,TRIM-D07,15A 4-Way Decora Switch + Decora Plate — Install,EA,0.15,0.00,"Install 15A 4-way Decora rocker switch and plate. PRICE TBD."
TRIM,TRIM-D08,20A Single-Pole Decora Switch + Decora Plate — Install,EA,0.12,0.00,"Install 20A single-pole Decora rocker switch and plate. Ref: Leviton 5621-2W. PRICE TBD."
TRIM,TRIM-T01,15A Standard Duplex Receptacle (TR) + Plate — Install,EA,0.15,0.00,"Install 15A tamper-resistant standard duplex receptacle and plate. Ref: Leviton 5320-WCP (10-pk) / Eaton TR270W-10P (10-pk). PRICE TBD."
TRIM,TRIM-T02,20A Standard Duplex Receptacle (TR) + Plate — Install,EA,0.15,0.00,"Install 20A tamper-resistant standard duplex receptacle and plate. Ref: Leviton T5820-WMP (10-pk). PRICE TBD."
TRIM,TRIM-T03,15A GFCI Receptacle (Standard) + Plate — Install,EA,0.20,0.00,"Install 15A GFCI receptacle (standard body) and plate. Wire and test. PRICE TBD."
TRIM,TRIM-T04,20A GFCI Receptacle (Standard) + Plate — Install,EA,0.20,0.00,"Install 20A GFCI receptacle (standard body) and plate. Wire and test. PRICE TBD."
TRIM,TRIM-T05,15A Single-Pole Toggle Switch + Plate — Install,EA,0.12,0.00,"Install 15A single-pole toggle switch and plate. Ref: Leviton 1451-2WM (10-pk) / Eaton 1301-7W-10P (10-pk). PRICE TBD."
TRIM,TRIM-T06,15A 3-Way Toggle Switch + Plate — Install,EA,0.15,0.00,"Install 15A 3-way toggle switch and plate. Ref: Leviton 1453-2WM (10-pk) / Eaton 1303-7W-10P (10-pk). PRICE TBD."
TRIM,TRIM-T07,15A 4-Way Toggle Switch + Plate — Install,EA,0.15,0.00,"Install 15A 4-way toggle switch and plate. PRICE TBD."
TRIM,TRIM-T08,20A Single-Pole Toggle Switch + Plate — Install,EA,0.12,0.00,"Install 20A single-pole toggle switch and plate. Ref: Leviton 1221-2W. PRICE TBD."
TRIM,TRIM-005,20A 240V Receptacle (NEMA 6-20) + Wall Plate — Install,EA,0.20,12.00,Install 240V receptacle into box and attach plate. Wire connections.
TRIM,TRIM-006,30A 240V Receptacle (NEMA 14-30 dryer) + Wall Plate — Install,EA,0.25,18.00,Install 30A dryer receptacle into box and attach plate.
TRIM,TRIM-007,50A 240V Receptacle (NEMA 14-50 range) + Wall Plate — Install,EA,0.25,22.00,Install 50A range receptacle into box and attach plate.
TRIM,TRIM-011,Dimmer Switch (Decora) + Wall Plate — Install,EA,0.15,25.00,Install dimmer switch and plate. Wire connections.
TRIM,TRIM-012,Timer / Occupancy Sensor Switch + Wall Plate — Install,EA,0.20,35.00,Install timer or occupancy sensor switch and plate.
TRIM,TRIM-013,Blank Wall Plate — Install,EA,0.05,1.50,Install blank cover plate over junction box.
TRIM,TRIM-014,Weatherproof Cover (in-use) — Install,EA,0.10,8.00,Install weatherproof while-in-use cover on exterior box.
TRIM,TRIM-015,Smoke Detector (hardwired) — Install,EA,0.15,28.00,Mount and connect hardwired smoke detector to box.
TRIM,TRIM-016,CO Detector (hardwired) — Install,EA,0.15,32.00,Mount and connect hardwired CO detector to box.
TRIM,TRIM-017,Smoke/CO Combo Detector (hardwired) — Install,EA,0.15,38.00,Mount and connect hardwired combo detector to box.
TRIM,TRIM-018,Standard Light Fixture — Hang + Connect (Client-Supplied),EA,0.30,0.00,"Hang homeowner/client-supplied light fixture and make wire connections. Fixture material not included."
TRIM,TRIM-019,Ceiling Fan — Assemble + Hang + Connect (Client-Supplied),EA,0.75,0.00,"Assemble and hang homeowner/client-supplied ceiling fan. Fan material not included."
TRIM,TRIM-ASD01,ASD 4 in Recessed LED Wafer 9W (New Work) — Install + Connect,EA,0.20,0.00,"Install ASD JBR 4 in 9W canless LED wafer light. 5CCT selectable. CRI 90+. Wet rated. 12-pk: ASD-JBR-4D9WH-12P. Contractor provided (ASD). PRICE TBD."
TRIM,TRIM-ASD02,ASD 4 in Recessed LED Wafer 12W (New Work) — Install + Connect,EA,0.20,0.00,"Install ASD JBR 4 in 12W canless LED wafer light. 5CCT selectable. CRI 90+. Wet rated. 12-pk: ASD-JBR-4D12WH-12P. Contractor provided (ASD). PRICE TBD."
TRIM,TRIM-ASD03,ASD 6 in Recessed LED Wafer 12W (New Work) — Install + Connect,EA,0.20,0.00,"Install ASD JBR 6 in 12W canless LED wafer light. 5CCT selectable. CRI 90+. Wet rated. 12-pk: ASD-JBR-6D12WH-12P. Contractor provided (ASD). PRICE TBD."
TRIM,TRIM-ASD04,ASD 6 in Recessed LED Wafer 15W (New Work) — Install + Connect,EA,0.20,0.00,"Install ASD JBR 6 in 15W canless LED wafer light. 5CCT selectable. CRI 90+. Wet rated. 12-pk: ASD-JBR-6D15WH-12P. Contractor provided (ASD). PRICE TBD."
TRIM,TRIM-ASD05,ASD 4 in Baffle Wafer 9W (New Work) — Install + Connect,EA,0.20,0.00,"Install ASD JBRB 4 in 9W baffle trim canless LED. 5CCT selectable. CRI 90+. Wet rated. 12-pk: ASD-JBRB-4D9WH-12P. Contractor provided (ASD). PRICE TBD."
TRIM,TRIM-ASD06,ASD 6 in Baffle Wafer 12W (New Work) — Install + Connect,EA,0.20,0.00,"Install ASD JBRB 6 in 12W baffle trim canless LED. 5CCT selectable. CRI 90+. Wet rated. 12-pk: ASD-JBRB-6D12WH-12P. Contractor provided (ASD). PRICE TBD."
TRIM,TRIM-ASD07,ASD 4 in Square Wafer 10W (New Work) — Install + Connect,EA,0.20,0.00,"Install ASD JBS 4 in 10W square canless LED. 5CCT selectable. CRI 90+. Contractor provided (ASD). PRICE TBD."
TRIM,TRIM-ASD08,ASD 6 in Square Wafer 15W (New Work) — Install + Connect,EA,0.20,0.00,"Install ASD JBS 6 in 15W square canless LED. 5CCT selectable. CRI 90+. Contractor provided (ASD). PRICE TBD."
