Section,Code,Name,Unit,Labor Hrs,Material Cost ($),Description
LINE,LINE-004A,125A Main Breaker Panel (40-space 40-circuit) — Mount,EA,1.75,0.00,"Mount and secure 125A main breaker panel (40-space 40-circuit). Ref: Eaton BR4040B125 / Siemens P4040B1125CU. Wiring and breakers separate. PRICE TBD."
LINE,LINE-005,100A Main Breaker Panel (30-space 40-circuit) — Mount,EA,1.50,0.00,"Mount and secure 100A main breaker panel (30-space 40-circuit). Ref: SQ-D HOM3060M100PC / Eaton BR3040B100 / Siemens P3040B1100CU. Wiring and breakers separate. PRICE TBD."
LINE,LINE-005A,100A Main Breaker Panel (20-space 40-circuit) — Mount,EA,1.50,0.00,"Mount and secure 100A main breaker panel (20-space 40-circuit). Ref: SQ-D HOM2040M100PC / QO120M100P / Eaton BR2020B100 / Siemens P2040B1100CU. Wiring and breakers separate. PRICE TBD."
LINE,LINE-006,200A Meter Base — Mount,EA,1.50,175.00,Mount meter base to exterior wall. Wiring separate.
LINE,LINE-007,150A Subpanel (30-space) — Mount,EA,1.50,180.00,Mount subpanel to wall. Feeder and breakers separate.
LINE,LINE-008,125A Subpanel (24-space) — Mount,EA,1.25,165.00,Mount subpanel to wall. Feeder and breakers separate.
LINE,LINE-009,100A Subpanel (20-space) — Mount,EA,1.25,150.00,Mount subpanel to wall. Feeder and breakers separate.
LINE,LINE-010,60A Subpanel (12-space) — Mount,EA,1.00,120.00,Mount subpanel to wall. Feeder and breakers separate.
LINE,LINE-011,Service Mast + Weatherhead — Install,EA,3.00,150.00,Install mast pipe and weatherhead on exterior wall. Conductors separate.
LINE,LINE-012,Exterior Service Disconnect — Mount,EA,1.50,175.00,Mount and secure exterior disconnect enclosure. Wiring separate.
LINE,LINE-013,CT Cabinet — Mount,EA,2.00,300.00,Mount current transformer cabinet for 320A+ services. Wiring separate.
LINE,LINE-014,Ground Rod — Drive,EA,0.75,25.00,Drive 8-ft ground rod into earth. Clamp and conductor separate.
LINE,LINE-015,Ground Rod Clamp — Install,EA,0.15,8.00,Install clamp on ground rod and connect conductor.
LINE,LINE-016,Ground Rod Conductor (bare Cu) — Run,LF,0.005,1.50,Run bare copper grounding electrode conductor from panel to rod.
LINE,LINE-017,Water Pipe Bond Clamp — Install,EA,0.25,12.00,Install bonding clamp on metal water pipe and connect jumper.
LINE,LINE-018,Intersystem Bonding Termination — Install,EA,0.25,15.00,Install IBTS device at service for telecom/CATV bonding.
LINE,LINE-019,15A Single-Pole Breaker — Install,EA,0.25,8.00,Snap in and land 15A single-pole breaker on bus.
LINE,LINE-020,20A Single-Pole Breaker — Install,EA,0.25,9.00,Snap in and land 20A single-pole breaker on bus.
LINE,LINE-021,15A AFCI Breaker — Install,EA,0.35,45.00,Snap in and land 15A AFCI breaker. Pigtail to neutral bus.
LINE,LINE-022,20A AFCI Breaker — Install,EA,0.35,48.00,Snap in and land 20A AFCI breaker. Pigtail to neutral bus.
LINE,LINE-023,15A GFCI Breaker — Install,EA,0.35,45.00,Snap in and land 15A GFCI breaker. Pigtail to neutral bus.
LINE,LINE-024,20A GFCI Breaker — Install,EA,0.35,48.00,Snap in and land 20A GFCI breaker. Pigtail to neutral bus.
LINE,LINE-025,15A Dual-Function (AFCI/GFCI) Breaker — Install,EA,0.35,55.00,Snap in and land 15A dual-function breaker. Pigtail to neutral bus.
LINE,LINE-026,20A Dual-Function (AFCI/GFCI) Breaker — Install,EA,0.35,58.00,Snap in and land 20A dual-function breaker. Pigtail to neutral bus.
LINE,LINE-027,20A 240V 2-Pole Breaker — Install,EA,0.35,25.00,Snap in and land 20A 2-pole breaker on bus.
LINE,LINE-028,30A 240V 2-Pole Breaker — Install,EA,0.35,28.00,Snap in and land 30A 2-pole breaker on bus.
LINE,LINE-029,40A 240V 2-Pole Breaker — Install,EA,0.35,30.00,Snap in and land 40A 2-pole breaker on bus.
LINE,LINE-030,50A 240V 2-Pole Breaker — Install,EA,0.35,32.00,Snap in and land 50A 2-pole breaker on bus.
LINE,LINE-031,60A 240V 2-Pole Breaker — Install,EA,0.35,35.00,Snap in and land 60A 2-pole breaker on bus.
LINE,LINE-032,100A 240V 2-Pole Breaker — Install,EA,0.35,65.00,Snap in and land 100A 2-pole breaker on bus.
LINE,LINE-033,200A 240V Main Breaker — Install,EA,0.50,85.00,Snap in and land 200A main breaker.
LINE,LINE-034,Surge Protective Device (SPD) — Install,EA,0.50,150.00,Install SPD module at panel and connect.
LINE,LINE-035,4/0 AWG Aluminum Service Conductor — Pull,LF,0.020,1.00,"Pull single 4/0 aluminum conductor. Multiply qty by conductor count (3 for single-phase, 4 for three-phase)."
LINE,LINE-036,4/0 AWG Copper Service Conductor — Pull,LF,0.020,2.00,"Pull single 4/0 copper conductor. Multiply qty by conductor count (3 for single-phase, 4 for three-phase)."
LINE,LINE-037,2/0 AWG Aluminum Service Conductor — Pull,LF,0.018,0.70,Pull single 2/0 aluminum conductor. Multiply qty by conductor count.
LINE,LINE-038,2/0 AWG Copper Service Conductor — Pull,LF,0.018,1.50,Pull single 2/0 copper conductor. Multiply qty by conductor count.
LINE,LINE-039,1/0 AWG Aluminum Feeder Conductor — Pull,LF,0.016,0.55,Pull single 1/0 aluminum conductor for feeder.
LINE,LINE-040,1/0 AWG Copper Feeder Conductor — Pull,LF,0.016,1.20,Pull single 1/0 copper conductor for feeder.
LINE,LINE-041,SER Cable 4/0 (3-conductor + ground) — Run,LF,0.025,7.00,Run SER 4/0 cable from main panel to subpanel or service point.
LINE,LINE-042,SER Cable 2/0 (3-conductor + ground) — Run,LF,0.022,4.50,Run SER 2/0 cable from main panel to subpanel.
LINE,LINE-043,SER Cable 1/0 (3-conductor + ground) — Run,LF,0.020,3.50,Run SER 1/0 cable from main panel to subpanel.
LINE,LINE-044,SEU Cable 4/0 (2-conductor + ground) — Run,LF,0.025,6.50,Run SEU 4/0 cable from meter to panel.
DEMO,DM-001,Remove Existing Receptacle / Switch / Device,EA,0.15,0.00,"De-energize, disconnect, and remove existing device and plate from box."
DEMO,DM-002,Remove Existing Light Fixture,EA,0.20,0.00,"De-energize, disconnect, and remove existing light fixture from box/ceiling."
DEMO,DM-003,Remove Existing Ceiling Fan,EA,0.35,0.00,"De-energize, disconnect, disassemble, and remove existing ceiling fan."
DEMO,DM-004,Remove Existing Panel,EA,2.00,0.00,"De-energize, disconnect all circuits, remove panel from wall. For panel upgrade/swap jobs."
DEMO,DM-005,Remove Existing Wire / Cable,LF,0.010,0.00,"Pull out and remove existing cable from structure. Per linear foot."
DEMO,DM-006,Remove Existing Box (wall/ceiling),EA,0.20,0.00,"Remove existing electrical box from wall or ceiling. Patch opening if needed using blank plate method."
PANEL,PNL-001,Circuit Tracing — Single Circuit,EA,0.25,0.00,"Identify and label one circuit from panel to endpoints using toner/tracer or breaker method."
PANEL,PNL-002,Full Panel Trace + Label (up to 20 circuits),EA,3.00,8.00,"Trace every circuit in panel, identify endpoints, update panel directory. Label kit included."
PANEL,PNL-003,Full Panel Trace + Label (21-42 circuits),EA,5.00,8.00,"Trace every circuit in panel, identify endpoints, update panel directory. Label kit included."
PANEL,PNL-004,Panel Swap / Upgrade — Re-land All Circuits,EA,6.00,0.00,"Demo existing panel, mount new panel, re-land all existing circuit wires onto new bus. New panel and breakers priced separately under LINE items."
PANEL,PNL-005,Breaker Replacement — Swap Existing Breaker,EA,0.30,0.00,"De-energize panel, remove defective breaker, install replacement. Breaker material priced separately under LINE items."
PANEL,PNL-006,Add New Circuit to Existing Panel,EA,0.35,0.00,"Install new breaker and land home-run cable at panel. Breaker and cable priced separately."
ACCESS,AC-001,Drywall Cut — Box Opening (single-gang),EA,0.10,0.00,"Cut opening in finished drywall for old-work box using template or oscillating tool."
ACCESS,AC-002,Drywall Cut — Box Opening (double-gang),EA,0.12,0.00,"Cut opening in finished drywall for double-gang old-work box."
ACCESS,AC-003,Drywall Cut — Box Opening (triple-gang),EA,0.15,0.00,"Cut opening in finished drywall for triple-gang old-work box."
ACCESS,AC-004,Drywall Cut — Box Opening (quad-gang),EA,0.18,0.00,"Cut opening in finished drywall for quad-gang old-work box."
ACCESS,AC-005,Drywall Access Cut — Strip / Fishing Opening,EA,0.20,0.00,"Cut access strip/opening in wall or ceiling to route cable through finished framing. Drywall strip screwed back in place. Mud/tape/sand/texture/paint by others."
ACCESS,AC-006,Drywall Access Patch — Blank Plate Method,EA,0.25,5.50,"Cut in 2-gang old-work data box at access opening and install 2-gang blank plate to cover. Material: old-work box + blank plate."
ACCESS,AC-007,Plaster / Lathe Cut — Box Opening,EA,0.25,0.00,"Cut opening in plaster/lathe for old-work box. Higher labor due to harder material."
ACCESS,AC-008,Ceiling Cut — Wafer / Recessed Light Opening,EA,0.10,0.00,"Cut round opening in finished ceiling for canless wafer light or recessed trim using hole saw or template."
ROUGH-IN,RI-001,Single-Gang Old-Work (Cut-In) Box — Install,EA,0.15,3.25,"Install single-gang old-work box with wing clips into existing drywall opening."
ROUGH-IN,RI-002,Double-Gang Old-Work (Cut-In) Box — Install,EA,0.18,5.50,"Install double-gang old-work box with wing clips into existing drywall opening."
ROUGH-IN,RI-003,Triple-Gang Old-Work (Cut-In) Box — Install,EA,0.20,7.50,"Install triple-gang old-work box with wing clips into existing drywall opening."
ROUGH-IN,RI-004,Quad-Gang Old-Work (Cut-In) Box — Install,EA,0.22,9.25,"Install quad-gang old-work box with wing clips into existing drywall opening."
ROUGH-IN,RI-005,Round Old-Work Ceiling Box (Cut-In) — Install,EA,0.18,4.50,"Install round cut-in ceiling box for light fixture in finished ceiling."
ROUGH-IN,RI-006,Fan-Rated Old-Work Ceiling Box (Cut-In w/ Brace) — Install,EA,0.30,18.00,"Install fan-rated cut-in ceiling box with expandable brace bar through existing ceiling opening."
ROUGH-IN,RI-007,4-Square Junction Box — Mount,EA,0.15,1.50,"Mount 4-square box at accessible location (attic, basement, crawl) for junction or splice point."
ROUGH-IN,RI-008,Weatherproof Box (single-gang) — Mount,EA,0.15,6.00,"Mount weatherproof box on exterior wall."
ROUGH-IN,RI-009,Panel Box Knockout — Prep,EA,0.10,0.50,"Remove knockout and install connector at panel."
ROUGH-IN,RI-010,14/2 NM-B — Fish Through Finished Wall,LF,0.020,0.45,"Fish 14/2 Romex through finished walls/ceilings. Includes drilling through accessible plates."
ROUGH-IN,RI-011,12/2 NM-B — Fish Through Finished Wall,LF,0.022,0.65,"Fish 12/2 Romex through finished walls/ceilings. Includes drilling through accessible plates."
ROUGH-IN,RI-012,14/3 NM-B — Fish Through Finished Wall,LF,0.022,0.65,"Fish 14/3 Romex through finished walls/ceilings (3-way switch legs)."
ROUGH-IN,RI-013,12/3 NM-B — Fish Through Finished Wall,LF,0.024,1.00,"Fish 12/3 Romex through finished walls/ceilings."
ROUGH-IN,RI-014,10/2 NM-B — Fish Through Finished Wall,LF,0.024,0.93,"Fish 10/2 Romex through finished walls/ceilings (30A circuits)."
ROUGH-IN,RI-015,10/3 NM-B — Fish Through Finished Wall,LF,0.026,1.53,"Fish 10/3 Romex through finished walls/ceilings."
ROUGH-IN,RI-016,8/2 NM-B — Fish Through Finished Wall,LF,0.028,1.20,"Fish 8/2 Romex through finished walls/ceilings (40A circuits)."
ROUGH-IN,RI-017,8/3 NM-B — Fish Through Finished Wall,LF,0.030,1.50,"Fish 8/3 Romex through finished walls/ceilings."
ROUGH-IN,RI-018,6/2 NM-B — Fish Through Finished Wall,LF,0.032,2.55,"Fish 6/2 Romex through finished walls/ceilings (50A circuits)."
ROUGH-IN,RI-019,6/3 NM-B — Fish Through Finished Wall,LF,0.035,4.20,"Fish 6/3 Romex through finished walls/ceilings."
ROUGH-IN,RI-020,14/2 NM-B — Run Through Accessible Attic/Crawl,LF,0.008,0.45,"Run and secure 14/2 Romex through accessible attic or crawlspace. Staple where required."
ROUGH-IN,RI-021,12/2 NM-B — Run Through Accessible Attic/Crawl,LF,0.010,0.65,"Run and secure 12/2 Romex through accessible attic or crawlspace. Staple where required."
ROUGH-IN,RI-022,14/3 NM-B — Run Through Accessible Attic/Crawl,LF,0.010,0.65,"Run and secure 14/3 Romex through accessible attic or crawlspace."
ROUGH-IN,RI-023,12/3 NM-B — Run Through Accessible Attic/Crawl,LF,0.012,1.00,"Run and secure 12/3 Romex through accessible attic or crawlspace."
ROUGH-IN,RI-024,10/2 NM-B — Run Through Accessible Attic/Crawl,LF,0.012,0.93,"Run and secure 10/2 Romex through accessible attic or crawlspace."
ROUGH-IN,RI-025,10/3 NM-B — Run Through Accessible Attic/Crawl,LF,0.014,1.53,"Run and secure 10/3 Romex through accessible attic or crawlspace."
ROUGH-IN,RI-026,6/2 NM-B — Run Through Accessible Attic/Crawl,LF,0.016,2.55,"Run and secure 6/2 Romex through accessible attic or crawlspace (50A circuits)."
ROUGH-IN,RI-027,6/3 NM-B — Run Through Accessible Attic/Crawl,LF,0.018,4.20,"Run and secure 6/3 Romex through accessible attic or crawlspace."
ROUGH-IN,RI-028,14/2 NM-B — Run Through Exposed Basement/Joists,LF,0.007,0.45,"Run and secure 14/2 Romex along exposed basement joists. Staple per NEC."
ROUGH-IN,RI-029,12/2 NM-B — Run Through Exposed Basement/Joists,LF,0.008,0.65,"Run and secure 12/2 Romex along exposed basement joists. Staple per NEC."
ROUGH-IN,RI-030,10/2 NM-B — Run Through Exposed Basement/Joists,LF,0.009,0.93,"Run and secure 10/2 Romex along exposed basement joists (30A circuits)."
ROUGH-IN,RI-031,MC Cable 14/2 — Run,LF,0.010,0.70,"Run and secure 14/2 MC cable with clips (old work, exposed or fished)."
ROUGH-IN,RI-032,MC Cable 12/2 — Run,LF,0.012,0.85,"Run and secure 12/2 MC cable with clips (old work, exposed or fished)."
ROUGH-IN,RI-033,MC Cable 12/3 — Run,LF,0.014,1.30,"Run and secure 12/3 MC cable with clips."
ROUGH-IN,RI-034,MC Cable 10/2 — Run,LF,0.014,1.00,"Run and secure 10/2 MC cable with clips."
ROUGH-IN,RI-035,MC Cable 10/3 — Run,LF,0.016,1.50,"Run and secure 10/3 MC cable with clips."
ROUGH-IN,RI-036,UF-B Cable 12/2 — Run (direct burial),LF,0.012,0.85,"Trench and lay 12/2 UF-B cable underground."
ROUGH-IN,RI-037,UF-B Cable 10/2 — Run (direct burial),LF,0.013,1.20,"Trench and lay 10/2 UF-B cable underground."
ROUGH-IN,RI-038,Low-Voltage Wire 18/2 — Run,LF,0.005,0.12,"Run thermostat/doorbell/control wire through finished space."
ROUGH-IN,RI-039,Low-Voltage Wire 18/4 — Run,LF,0.005,0.18,"Run 4-conductor low-voltage wire through finished space."
ROUGH-IN,RI-040,THHN 14 AWG Cu — Pull (per conductor),LF,0.004,0.10,"Pull single 14 AWG THHN conductor through conduit."
ROUGH-IN,RI-041,THHN 12 AWG Cu — Pull (per conductor),LF,0.005,0.15,"Pull single 12 AWG THHN conductor through conduit."
ROUGH-IN,RI-042,THHN 10 AWG Cu — Pull (per conductor),LF,0.005,0.20,"Pull single 10 AWG THHN conductor through conduit."
ROUGH-IN,RI-043,THHN 8 AWG Cu — Pull (per conductor),LF,0.006,0.40,"Pull single 8 AWG THHN conductor through conduit."
ROUGH-IN,RI-044,THHN 6 AWG Cu — Pull (per conductor),LF,0.007,0.65,"Pull single 6 AWG THHN conductor through conduit."
ROUGH-IN,RI-045,THHN 4 AWG Cu — Pull (per conductor),LF,0.008,1.10,"Pull single 4 AWG THHN conductor through conduit."
ROUGH-IN,RI-046,THHN 2 AWG Cu — Pull (per conductor),LF,0.010,1.80,"Pull single 2 AWG THHN conductor through conduit."
ROUGH-IN,RI-047,EMT Conduit 1/2 in — Install,LF,0.020,0.75,"Cut measure and install 1/2 in EMT with fittings."
ROUGH-IN,RI-048,EMT Conduit 3/4 in — Install,LF,0.025,1.00,"Cut measure and install 3/4 in EMT with fittings."
ROUGH-IN,RI-049,EMT Conduit 1 in — Install,LF,0.030,1.45,"Cut measure and install 1 in EMT with fittings."
ROUGH-IN,RI-050,PVC Conduit 1/2 in — Install,LF,0.018,0.55,"Cut glue and install 1/2 in PVC with fittings."
ROUGH-IN,RI-051,PVC Conduit 3/4 in — Install,LF,0.022,0.75,"Cut glue and install 3/4 in PVC with fittings."
ROUGH-IN,RI-052,PVC Conduit 1 in — Install,LF,0.025,1.00,"Cut glue and install 1 in PVC with fittings."
ROUGH-IN,RI-053,FMC Flex Steel 1/2 in — Install,LF,0.015,0.60,"Install 1/2 in flexible metal conduit with fittings."
ROUGH-IN,RI-054,FMC Flex Steel 3/4 in — Install,LF,0.018,0.85,"Install 3/4 in flexible metal conduit with fittings."
ROUGH-IN,RI-055,LFMC Liquidtight 1/2 in — Install,LF,0.018,0.80,"Install 1/2 in liquidtight flex conduit with fittings."
ROUGH-IN,RI-056,LFMC Liquidtight 3/4 in — Install,LF,0.022,1.00,"Install 3/4 in liquidtight flex conduit with fittings."
ROUGH-IN,RI-057,LFMC Liquidtight 1 in — Install,LF,0.025,1.40,"Install 1 in liquidtight flex conduit with fittings."
ROUGH-IN,RI-058,Cable Connector (NM) — Install,EA,0.05,0.50,"Install NM cable connector at box knockout."
ROUGH-IN,RI-059,MC Connector — Install,EA,0.08,1.50,"Install MC cable connector with anti-short bushing at box."
ROUGH-IN,RI-060,Conduit Body (LB/LL/LR) — Install,EA,0.20,8.00,"Install conduit body fitting for direction change."
ROUGH-IN,RI-061,Conduit Elbow (90 degree) — Install,EA,0.15,3.00,"Install prefab 90-degree conduit elbow."
ROUGH-IN,RI-062,Wire Nut / Push-In Connector — Splice (per joint),EA,0.05,0.25,"Make one splice connection with wire nut or push connector."
ROUGH-IN,RI-063,EMT Conduit 1-1/4 in — Install,LF,0.035,1.80,"Cut measure and install 1-1/4 in EMT with fittings."
ROUGH-IN,RI-064,EMT Conduit 1-1/2 in — Install,LF,0.040,2.25,"Cut measure and install 1-1/2 in EMT with fittings."
ROUGH-IN,RI-065,EMT Conduit 2 in — Install,LF,0.045,3.00,"Cut measure and install 2 in EMT with fittings."
ROUGH-IN,RI-066,EMT Conduit 2-1/2 in — Install,LF,0.055,4.50,"Cut measure and install 2-1/2 in EMT with fittings."
ROUGH-IN,RI-067,EMT Conduit 3 in — Install,LF,0.065,6.00,"Cut measure and install 3 in EMT with fittings."
ROUGH-IN,RI-068,EMT Conduit 3-1/2 in — Install,LF,0.075,7.75,"Cut measure and install 3-1/2 in EMT with fittings."
ROUGH-IN,RI-069,EMT Conduit 4 in — Install,LF,0.085,9.50,"Cut measure and install 4 in EMT with fittings."
ROUGH-IN,RI-070,PVC Conduit 1-1/4 in — Install,LF,0.030,1.20,"Cut glue and install 1-1/4 in PVC with fittings."
ROUGH-IN,RI-071,PVC Conduit 1-1/2 in — Install,LF,0.035,1.60,"Cut glue and install 1-1/2 in PVC with fittings."
ROUGH-IN,RI-072,PVC Conduit 2 in — Install,LF,0.040,2.15,"Cut glue and install 2 in PVC with fittings."
ROUGH-IN,RI-073,PVC Conduit 2-1/2 in — Install,LF,0.048,3.25,"Cut glue and install 2-1/2 in PVC with fittings."
ROUGH-IN,RI-074,PVC Conduit 3 in — Install,LF,0.055,4.50,"Cut glue and install 3 in PVC with fittings."
ROUGH-IN,RI-075,PVC Conduit 3-1/2 in — Install,LF,0.065,5.75,"Cut glue and install 3-1/2 in PVC with fittings."
ROUGH-IN,RI-076,PVC Conduit 4 in — Install,LF,0.075,7.00,"Cut glue and install 4 in PVC with fittings."
ROUGH-IN,RI-077,RMC Rigid Steel 1/2 in — Install,LF,0.035,2.00,"Cut thread and install 1/2 in rigid metal conduit."
ROUGH-IN,RI-078,RMC Rigid Steel 3/4 in — Install,LF,0.040,2.50,"Cut thread and install 3/4 in rigid metal conduit."
ROUGH-IN,RI-079,RMC Rigid Steel 1 in — Install,LF,0.045,3.25,"Cut thread and install 1 in rigid metal conduit."
ROUGH-IN,RI-080,RMC Rigid Steel 1-1/4 in — Install,LF,0.050,4.25,"Cut thread and install 1-1/4 in rigid metal conduit."
ROUGH-IN,RI-081,RMC Rigid Steel 1-1/2 in — Install,LF,0.060,5.50,"Cut thread and install 1-1/2 in rigid metal conduit."
ROUGH-IN,RI-082,RMC Rigid Steel 2 in — Install,LF,0.070,7.00,"Cut thread and install 2 in rigid metal conduit."
ROUGH-IN,RI-083,RMC Rigid Steel 2-1/2 in — Install,LF,0.085,9.50,"Cut thread and install 2-1/2 in rigid metal conduit."
ROUGH-IN,RI-084,RMC Rigid Steel 3 in — Install,LF,0.100,12.50,"Cut thread and install 3 in rigid metal conduit."
ROUGH-IN,RI-085,RMC Rigid Steel 3-1/2 in — Install,LF,0.115,15.00,"Cut thread and install 3-1/2 in rigid metal conduit."
ROUGH-IN,RI-086,RMC Rigid Steel 4 in — Install,LF,0.130,18.00,"Cut thread and install 4 in rigid metal conduit."
ROUGH-IN,RI-087,FMC Flex Steel 1 in — Install,LF,0.022,1.20,"Install 1 in flexible metal conduit with fittings."
ROUGH-IN,RI-088,FMC Flex Steel 1-1/4 in — Install,LF,0.028,1.60,"Install 1-1/4 in flexible metal conduit with fittings."
ROUGH-IN,RI-089,FMC Flex Steel 1-1/2 in — Install,LF,0.032,2.00,"Install 1-1/2 in flexible metal conduit with fittings."
ROUGH-IN,RI-090,FMC Flex Steel 2 in — Install,LF,0.038,2.75,"Install 2 in flexible metal conduit with fittings."
ROUGH-IN,RI-091,LFMC Liquidtight 1-1/4 in — Install,LF,0.030,1.80,"Install 1-1/4 in liquidtight flex conduit with fittings."
ROUGH-IN,RI-092,LFMC Liquidtight 1-1/2 in — Install,LF,0.035,2.25,"Install 1-1/2 in liquidtight flex conduit with fittings."
ROUGH-IN,RI-093,LFMC Liquidtight 2 in — Install,LF,0.042,3.00,"Install 2 in liquidtight flex conduit with fittings."
CIRCUIT-MOD,CM-001,Extend Circuit — Tap Into Existing Box (single device),EA,0.35,0.50,"Remove existing device and plate, disconnect wiring, add new cable into box, re-splice all wires, reinstall existing device and plate. Source box tap-in labor only. New cable and new endpoint device priced separately."
CIRCUIT-MOD,CM-002,Extend Circuit — Tap Into Existing Box (multi-device / multi-gang),EA,0.50,0.50,"Remove multiple existing devices and plates from multi-gang box, disconnect wiring, add new cable, re-splice all wires, reinstall all devices and plates. Source box tap-in labor only."
CIRCUIT-MOD,CM-003,Home-Run New Circuit From Existing Panel,EA,0.50,0.00,"Run new cable from panel to first device location. Includes panel knockout prep and cable termination at panel. Breaker and cable priced separately."
CIRCUIT-MOD,CM-004,Relocate Device (switch/receptacle) — Move to New Location,EA,0.75,0.00,"Move existing device to new location. Includes disconnect at old location, fish cable to new location, install new old-work box, reconnect device. Old box covered with blank plate. Cable and box priced separately."
CIRCUIT-MOD,CM-005,Convert 2-Prong to Grounded — Add GFCI Protection,EA,0.25,0.00,"Replace ungrounded 2-prong receptacle with GFCI receptacle for ground-fault protection per NEC 406.4(D)(2). Apply no equipment ground label. GFCI device priced separately under TRIM."
CIRCUIT-MOD,CM-006,Convert 2-Prong to Grounded — Run Ground Wire,EA,0.50,0.00,"Run new ground wire from ungrounded receptacle back to panel or nearest grounding point. Ground conductor priced separately per LF."
CIRCUIT-MOD,CM-007,Split Overloaded Circuit — Separate Into Two Circuits,EA,1.00,0.00,"Identify overloaded circuit, separate loads onto two circuits, run new home-run cable for second circuit. Breaker and cable priced separately."
SURFACE,SF-001,Wiremold 500 Raceway (small) — Install,LF,0.025,1.50,"Install Wiremold 500 series surface raceway along wall/ceiling. Fittings included per LF average."
SURFACE,SF-002,Wiremold 700 Raceway (standard) — Install,LF,0.030,2.00,"Install Wiremold 700 series surface raceway along wall/ceiling. Fittings included per LF average."
SURFACE,SF-003,Wiremold Raceway Fitting (elbow/tee/connector) — Install,EA,0.10,3.50,"Install individual Wiremold fitting (inside elbow, outside elbow, tee, connector, end cap)."
SURFACE,SF-004,Wiremold Device Box (surface mount) — Install,EA,0.15,6.00,"Install Wiremold surface-mount device box at raceway termination point."
SURFACE,SF-005,Wiremold Starter Box (surface mount) — Install,EA,0.15,8.00,"Install Wiremold starter/junction box for raceway origination."
TRIM,TRIM-D01,15A Decora Receptacle (TR) + Decora Plate — Install,EA,0.15,0.00,"Install 15A tamper-resistant Decora receptacle and Decora wall plate. Ref: Leviton T5325-WMP (10-pk). PRICE TBD."
TRIM,TRIM-D02,20A Decora Receptacle (TR) + Decora Plate — Install,EA,0.15,0.00,"Install 20A tamper-resistant Decora receptacle and Decora wall plate. Ref: Leviton T5820-WMP (10-pk). PRICE TBD."
TRIM,TRIM-D03,15A GFCI Decora Receptacle + Decora Plate — Install,EA,0.20,0.00,"Install 15A GFCI Decora receptacle and plate. Wire and test. Ref: Leviton GFNT1-W or 3-pack GFNT1-3W. PRICE TBD."
TRIM,TRIM-D04,20A GFCI Decora Receptacle + Decora Plate — Install,EA,0.20,0.00,"Install 20A GFCI Decora receptacle and plate. Wire and test. Ref: Leviton GFNT2-W. PRICE TBD."
TRIM,TRIM-D05,15A Single-Pole Decora Switch + Decora Plate — Install,EA,0.12,0.00,"Install 15A single-pole Decora rocker switch and plate. Ref: Leviton 5601-2WM (10-pk). PRICE TBD."
